,Identifier
240000,7087835458247461658
240001,7089628607550704411
240002,7092560121011686170
240003,6912083597402966786
240004,7090178417559178010
240005,7093221802691939098
240006,6907678983500860162
240007,6919184911983250182
240008,6911301042277845762
240009,6919012934861867777
240010,7093193729627982619
240011,6915344769673661185
240012,6999538298628705050
240013,302550159110987776
240014,7094127324802698010
240015,7087957382927584026
240016,6910095698637753090
240017,7093419853553683226
240018,7085276163215575835
240019,6835528845941099266
240020,6911016608500599554
240021,7084236637961456411
240022,7092593915097778970
240023,6945467710784506625
240024,6908726062537116417
240025,6914558422876687109
240026,7092236763346815771
240027,7093710397550725915
240028,7090672730378406682
240029,7092072272403450650
240030,6916852478848387842
240031,6917053987564899074
240032,6913960048620243713
240033,6922658666567224066
240034,7094035706963626753
240035,6911237911904242434
240036,6919402027218946821
240037,7094202723801615150
240038,6915473194145024770
240039,6976231757909609218
240040,6919362716427717377
240041,7043819154964646683
240042,7091819420477131547
240043,7089826265955388187
240044,6892908347335461637
240045,7093919943409945370
240046,6911601254624021249
240047,6907444337924377346
240048,7094161508997008155
240049,6603365775723989765
240050,7089216504071195394
240051,6914915543027878657
240052,7089590352759327515
240053,6721557325640944386
240054,6732342724697033473
240055,6761440417499155202
240056,7109361788358576130
240057,6775265404743862273
240058,7076707590180326171
240059,7026714695205735194
240060,7028941119807392539
240061,7027856232203782938
240062,7032242093410044698
240063,7079230389096663835
240064,7033643995309968155
240065,7037443043338914587
240066,6886029361217013762
240067,7090195672091740954
240068,6944018079630314242
240069,7063687206350703387
240070,6770226010085509894
240071,6912243727830469382
240072,6918423310456113926
240073,6786211607102900997
240074,7090560671032937221
240075,6913095667497962245
240076,6918601921787857669
240077,6616102769520544518
240078,6813753787363183365
240079,6919497035225811717
240080,6917157627185187589
240081,6904433402737429254
240082,6907975586740783877
240083,6915898295789390597
240084,6786455357028944646
240085,6918119158043413254
240086,6919342227118426885
240087,6913636371487886085
240088,6918290607504984838
240089,6917183354701990658
240090,6761790128126953473
240091,6764256575885412353
240092,6910657145386175233
240093,6763812992938149890
240094,7204801822287120385
240095,7005067397258349339
240096,7090881116822866715
240097,7004311079664847643
240098,7021141352423492379
240099,7004281264303852314
240100,7004090010915834625
240101,7003665127350225666
240102,7007326342358255618
240103,7099677489303128065
240104,7093976446808394501
240105,7078654586696829742
240106,7040917430734293766
240107,7096254070868593413
240108,7055734374838422277
240109,7053609296868690693
240110,7011793455370275585
240111,7002486855291635714
240112,6916404414106454785
240113,6910885210036964097
240114,7087531964336818970
240115,6734887211583408130
240116,6705010360551737345
240117,7075748256835259141
240118,7092099625619835653
240119,6893986313373059845
240120,6896613564828650245
240121,6903986269043378949
240122,7085493843537300267
240123,7089607447459187502
240124,6896153607859702533
240125,6908526849257655046
240126,6914827344649751302
240127,7094039030740011822
240128,7093593454168574726
240129,7091437638321736491
240130,6893690780750269189
240131,6893759326930979589
240132,6893602583198386950
240133,6893554233090640645
240134,7093632691840600875
240135,6909202059749264133
240136,7093255099891387178
240137,7090716047657028398
240138,6908521203917490945
240139,6881093661212412677
240140,6918765350234540805
240141,6893468320931023622
240142,6890620036067773190
240143,6894017602339851013
240144,6919115795133975301
240145,6919000177776855813
240146,7083803339741334314
240147,7093291664130853675
240148,6901792865257655046
240149,6918380833673906950
240150,7088113684152732458
240151,7093806379697228586
240152,6893686099026266885
240153,6899927400864385797
240154,7087171291559561990
240155,7092152160137300742
240156,6888716315259865862
240157,6893997538203323141
240158,6907001622359051014
240159,6905459156057180933
240160,6879009782473214726
240161,6893775051103980293
240162,7087068324550544171
240163,6895508902465522438
240164,6825689108103351046
240165,6893561959531203334
240166,7094201600176098075
240167,7082992515455994650
240168,7093426438174526234
240169,7090179128174988038
240170,7092826337958644485
240171,7087528513988758278
240172,6886777573750180609
240173,7093459932074347266
240174,7089166691439495941
240175,7063072941600180998
240176,7089480916204096261
240177,7090526004376390405
240178,7093148947677448965
240179,7091633597328722693
240180,7092791615806294830
240181,7093327353954208518
240182,7092509290790963973
240183,7086842255817870085
240184,7093294251315825414
240185,7093228780436687621
240186,7089240565404961542
240187,7093359761944857350
240188,7093612643122023173
240189,7092811120369175301
240190,7092505878808627974
240191,7092465139361860357
240192,7093612594753325829
240193,7092799116459264774
240194,7093139051691117317
240195,7092849983510416134
240196,7092585401646713606
240197,7092815526262557445
240198,7092507757248563973
240199,7093983246803127045
240200,7087196898699807493
240201,7093714253391170309
240202,7092820045574834949
240203,7085779343875623686
240204,7093362409624144646
240205,7094163263184734977
240206,7088353536966167297
240207,7091402196587186950
240208,7089839733773306629
240209,7090445609857026818
240210,7085764771731016449
240211,7093645631876827905
240212,7081671884035623706
240213,7083817443776301850
240214,7092588042619194138
240215,7089049827383823131
240216,7093550851624831790
240217,7092766760041990958
240218,7092548070419794734
240219,7092983129622907675
240220,7022814070738864922
240221,7021059901568879387
240222,7036627038346446850
240223,7090981584932784901
240224,6964026225295772418
240225,6980568541233678338
240226,7089391369130642181
240227,7090739837002697474
240228,7089578527934565125
240229,7091498892247747355
240230,7092230328214915842
240231,7087782615448636162
240232,6918984184413309697
240233,7091464134738381570
240234,6904970018615036673
240235,7083647729666116354
240236,7087276577423149825
240237,7089827972517022469
240238,7092802703352548123
240239,7089960294314724101
240240,7091882342923078405
240241,7090729176193452805
240242,6882506299322551041
240243,7091517956714203905
240244,7069570162680187650
240245,7091834814894000902
240246,7089416699027999493
240247,6917691660663098114
240248,7082844179760499462
240249,6881928973727697666
240250,6914372405209320193
240251,7084957430928444165
240252,7078078597377919746
240253,7089184031682235137
240254,7089229021933865730
240255,7087776479127603970
240256,7083578535834602245
240257,7090290946901887746
240258,7089860803990031106
240259,7090682215071255298
240260,7085153624669965057
240261,7082054755496823554
240262,7091218877157214978
240263,7092481834453420802
240264,6950622554876955393
240265,6910066303483071233
240266,7089480817069181697
240267,7086533849240865537
240268,6910626251477256962
240269,7088852896443403009
240270,6955839820614650625
240271,6950399567766506241
240272,6911166709391051521
240273,6769322715439467270
240274,7091478492449082113
240275,6818210269441919750
240276,6819208619276372741
240277,7091404051757157125
240278,7092273346947091202
240279,6696409270834956289
240280,6685229922329447174
240281,6710116907518806018
240282,6774357553666231046
240283,6884246001264184066
240284,6707200843650779910
240285,6906859194167610113
240286,7018701714949720837
240287,7018721627324582661
240288,6993034398996105217
240289,6995655926330722305
240290,6997327050650585090
240291,6997329193235122177
240292,6997070910033233922
240293,6997327526200608769
240294,6853997580725111554
240295,6872671990138800897
240296,6852654754787493889
240297,6867591105970440193
240298,7091988489788508930
240299,7078126302360569857
240300,7235198674889000961
240301,222628489256902656
240302,6948220738729986049
240303,6948841318537841413
240304,6956812904125451014
240305,6959370063094860550
240306,6959247415564126982
240307,6957183520166906629
240308,6967369704499350278
240309,6960344846292814598
240310,6960340776723188485
240311,6955832040201767686
240312,6953447047705955078
240313,6972306329620761349
240314,6971797943741319942
240315,6979568247536372485
240316,6957444596066454277
240317,6959291879120767750
240318,6958614605090409221
240319,6961940105099627269
240320,6962643725700958981
240321,6968999625982298886
240322,6985873686200912645
240323,6959222662782962438
240324,6967709318468717318
240325,6955921283020360449
240326,6961500989278980870
240327,6953044006209178374
240328,6959325317618060037
240329,6962183442305993478
240330,6959579244083415813
240331,6985930621172337414
240332,6959514558692182790
240333,6970057295841610501
240334,7093544452865690373
240335,6981079856431844102
240336,6984862978009041669
240337,6961236039054674694
240338,6968471484843002630
240339,6958692566023949062
240340,6960691908867803910
240341,6963393714341366534
240342,6973449067154180869
240343,6958097532375321346
240344,6960762930539285254
240345,6957325852644215557
240346,6986640064407194374
240347,6960286533303814917
240348,6963416638809000709
240349,6957675502161152773
240350,6965962615491152645
240351,6963658501826661125
240352,6960719609368447749
240353,7021291704611261189
240354,6990460553038809862
240355,6957083317464288005
240356,6958935218233625350
240357,6964451859343952646
240358,6957726480239577862
240359,7049830613373422342
240360,6957054514239228677
240361,6984960281797479174
240362,6966608238485932805
240363,6972649832318012165
240364,7090682041829722886
240365,6984797334970436357
240366,6965024927384652550
240367,6956636106410511110
240368,6960166421619837702
240369,6963013665624836870
240370,6955584767177788166
240371,6956790298546653957
240372,6961740794776521478
240373,6964403024559229701
240374,6957766019955886853
240375,6961599815528499974
240376,6957292184722754309
240377,6969702403658582790
240378,6996457135160724230
240379,6965506922275425029
240380,6957220923019643653
240381,6962674691295185669
240382,6986636727439952645
240383,6957301143311567621
240384,6980418400975686406
240385,6960643116831607558
240386,6973284359042484998
240387,6956702697735179014
240388,6963028611964111621
240389,6961508055200697094
240390,6983871095984147206
240391,6970310883473885958
240392,6965651200599526150
240393,6959543252286507782
240394,6962503613742664453
240395,7092921627747355397
240396,6966946655933303557
240397,6959441063060753158
240398,6973801217755482885
240399,6955902776610147077
240400,6957037759223597830
240401,6830939077722769409
240402,6928585502111041538
240403,6875736763604666370
240404,6919031896848632578
240405,6924639584475220738
240406,6862180283312048897
240407,6957895240627866370
240408,6861019805391047425
240409,6911109568139709185
240410,7038452450516536090
240411,7093912061842819074
240412,7094709624296803077
240413,7094801951426824966
240414,7094909907761253125
240415,7094732016570485510
240416,6849191715102853890
240417,6849195486906190594
240418,6849308281974819585
240419,6849539614328277761
240420,7262169012981188610
240421,7082104639927093250
240422,6553477107110925327
240423,6968522441014380545
240424,6934211763189697282
240425,6894302748678867714
240426,6912855968011635457
240427,297845826733989888
240428,6918344426347629313
240429,304378392458604544
240430,7031926115082046209
240431,6929237298424990465
240432,6909552933013080834
240433,7053145860653615873
240434,7009995359162239746
240435,7090122344840071938
240436,6856475600434023169
240437,6898783636921895682
240438,6918281861722622726
240439,6896205501693053698
240440,6854248498427136774
240441,7089718564705405702
240442,7089869335346400005
240443,7037323966855400219
240444,7092458402428767002
240445,7079758806380448539
240446,7085477566856907546
240447,7078476250192415514
240448,6966011311159347974
240449,6916493470878288642
240450,7084744735135451905
240451,6910194241017154305
240452,6923406781473393410
240453,6805864108047518469
240454,6916550035161336578
240455,7002926468451912450
240456,7091384773427366657
240457,6882440968344210178
240458,6869040665419238146
240459,6930881551815297793
240460,7019714379352427269
240461,7088736962915404546
240462,7030169109165918982
240463,6946212297945746177
240464,7039483291451280130
240465,7091724446884825858
240466,6634974758888803078
240467,6814383973523785729
240468,6696414850853111809
240469,252741055379562496
240470,242459444368871424
240471,6761403975116802050
240472,7060222080851151663
240473,11663
240474,308848688746119168
240475,7056891086739917615
240476,7003371962349177606
240477,7072101578525788933
240478,7042692068585540358
240479,7056907869085518598
240480,6905465620398197509
240481,7091885703650429722
240482,7140205324830066690
240483,7093481093680532250
240484,6643055035531922182
240485,7092760944140471066
240486,7067223117776947994
240487,7067756204415585050
240488,6944230617542363905
240489,6822241991133285122
240490,6946356022692809477
240491,7079452362499148549
240492,7092942133367180037
240493,7098906999802350341
240494,6942649430668265473
240495,6791267026231511810
240496,6853074430118103810
240497,6791402043564182274
240498,6845563868383545346
240499,6550695157484751621
240500,7042928310040496922
240501,7092533903784758018
240502,6915644016004582146
240503,6966274619984710402
240504,7093702331610565402
240505,7073395710967778074
240506,7027531475092900609
240507,7100234138258590490
240508,6917297675851729666
240509,6976847576519805697
240510,7001890745808407322
240511,6976927848850410241
240512,6914617379766979333
240513,6911783003630881537
240514,6960755815410125570
240515,6919526006869035778
240516,6911781700641049346
240517,6912135875014953729
240518,6921070333738928897
240519,6914650906315197189
240520,6911853108255525633
240521,6917586847279352578
240522,6915388162278116097
240523,6912914844484225793
240524,6997902976417336065
240525,6913587681616546561
240526,6913653150369057538
240527,6915125843803343618
240528,6922490747073710850
240529,6913222047065721601
240530,6918770669693963009
240531,6912848934440749825
240532,6914359360567118593
240533,6911794326322400001
240534,6918434563442150145
240535,6913203637116324609
240536,6918764474027494145
240537,6911399759383119874
240538,6918043789873531649
240539,6917207733154401026
240540,6911729601178077954
240541,6912374520087055105
240542,6913202790806375169
240543,6913270380014750466
240544,6709395690373515265
240545,7091646263745104667
240546,6905831341204802305
240547,7093584735015897882
240548,6913535942578227970
240549,7094303721550646043
240550,7094099259787692826
240551,6543434324983682048
240552,7092775028445465370
240553,6915273199194213121
240554,6915847718636210946
240555,6916783661006654209
240556,6828065889947093762
240557,6912030720428935938
240558,7092672718130137858
240559,6641358479711800069
240560,6815682760456275969
240561,6815698149907122949
240562,6790791866636847106
240563,6696717495887203077
240564,6733674679896115202
240565,6969246529005734658
240566,6883498319977466626
240567,6778821189864409862
240568,6912852564232915713
240569,6811244207223606021
240570,7028192315017906946
240571,6806656882279729926
240572,6875622425896225538
240573,7089694665347173126
240574,6786969116478540550
240575,6840338891887610630
240576,6887867777122847490
240577,7083968621907282694
240578,6785536107082730245
240579,6888794379176118273
240580,6888794350768097282
240581,6960355395592735489
240582,7012201316835396357
240583,6952747983108590337
240584,6922478764878318338
240585,7093845672025197339
240586,6954443739834092289
240587,6881543362776713985
240588,6898316810224339714
240589,6958084683296983810
240590,7082786877195225882
240591,6948615556262005505
240592,7091179793101638426
240593,6970353503797512961
240594,6974968239797357313
240595,6947216809271642881
240596,6968856696160652033
240597,6946961432424614658
240598,6951763629050039041
240599,6950710238237018881
240600,6915420119531326210
240601,6956175165520694017
240602,6955095454858185474
240603,7090791107258174234
240604,6835644350631086849
240605,6958095220454394626
240606,6963861976774658818
240607,6948871748808887042
240608,6809865700610558726
240609,6944663657418623745
240610,6847020715053468417
240611,6910472671604132609
240612,6961175532444683009
240613,6954395247082261249
240614,6957089522509204226
240615,6917692456008026881
240616,6818150736964766466
240617,6811088420316711681
240618,6912169953500531461
240619,6887580166982257414
240620,6917415859585698566
240621,6915584254323723013
240622,6894893072262515461
240623,6916872945386277638
240624,6917680249920621317
240625,6850284929251609350
240626,7093995695014808362
240627,6915114180811016966
240628,6845067718165531397
240629,6917086096815917826
240630,6907374048418843397
240631,6840720789956807429
240632,6840717699912420102
240633,6875825277700721413
240634,6907239933396765445
240635,6916904598556920582
240636,7055028107082451718
240637,6872393723628620549
240638,7092235418879527722
240639,6916111225491393285
240640,6877520053059717894
240641,6917388920938301442
240642,6917179291089012738
240643,6837357798439782402
240644,6837295902839818242
240645,6829427169660324614
240646,6919103778742766337
240647,6940585855077665537
240648,6601106239759846149
240649,6916945881430330113
240650,7080266988345395970
240651,7093634011238599425
240652,6741404658067196674
240653,6790384583494862849
240654,6609119024355740422
240655,6704965407624660993
240656,6704959119880620033
240657,6629744568841079558
240658,6783676746953672706
240659,7017518207091215130
240660,7089533356857166618
240661,7261103118925155118
240662,7060959848405797638
240663,7010425255030262529
240664,7071383470731184897
240665,7097984844978342657
240666,6990410207805442818
240667,6979346867406621442
240668,7039807616473647877
240669,6964067674347408130
240670,7095971865440652034
240671,6936239818368125702
240672,6935427303535037189
240673,6947898957721029377
240674,7057484579577301766
240675,7065430840469179142
240676,6937004748386126593
240677,7032572292668459782
240678,7088025560676387586
240679,6846675863451290373
240680,6769744043233511426
240681,7018469248401934337
240682,6977733651870468866
240683,6615202988489181957
240684,6671274160024472326
240685,7009496036184001306
240686,6918388152809933570
240687,6965481249859193602
240688,6910554333419440898
240689,6997794277493361409
240690,7053889279135025926
240691,7036022655266392859
240692,7047948087632956165
240693,6914189844528909058
240694,7025254647686236954
240695,6995609824016747266
240696,7091311491604876059
240697,6906409720408574722
240698,6933543210102934273
240699,6910147380495141633
240700,6991805235811371803
240701,6916538860495260418
240702,7093055938654997274
240703,7066141942819736322
240704,7008145019320142594
240705,6889895176974781186
240706,6945309935974599426
240707,6910355184895986433
240708,6702796761515182853
240709,6708943147684170502
240710,6933234186287401730
240711,7068337663271111450
240712,6919168365651036930
240713,6825147950969293569
240714,7014445447557188379
240715,6911342047211440898
240716,6973932340070419201
240717,6817791171105016577
240718,6723201270414412546
240719,6597296843451796229
240720,7093890644653214469
240721,7093829373106604805
240722,7093267817436317698
240723,6958234990773536770
240724,7184393993814280193
240725,7083637156064873259
240726,6997361520598321154
240727,7093194415694514950
240728,6610418831804336901
240729,6741934352940190466
240730,7019079241702640411
240731,7107532195182413826
240732,6704957579446978561
240733,6534986294991262720
240734,6916976090292570885
240735,6903860605128674050
240736,5000000001463409621
240737,6696407546313312257
240738,6970508442297436933
240739,6966630688179243782
240740,7039933259119332143
240741,6910522267520748289
240742,6908145840611805957
240743,6904665352903330565
240744,6909661504430607110
240745,6904717636492397317
240746,7079790339338423083
240747,6906592489327594245
240748,6898468652362812161
240749,6900580687699528453
