,Unnamed: 0,Total,Change,Percent,Song_uuid,Song_name,creditName,nexttoken
150,150,3600000,0,0.0,1bd5a7f-1528-4c1f-b4dd-967746fde5b6,Thank You for Being You,OctaSounds,WzQ0MTU0MDAsMjYyNTc1MThd
155,155,3583500,68400,1.95,790eb00-c5a8-11e8-bced-549f35141000,Back It up and Dump It (Dump Truck),GC Eternal & Kinfolk Thugs,WzQ0MTU0MDAsMjYyNTc1MThd
455,455,1934295,8143,0.42,1e82640-2bb1-a3e8-a43c-a0369fe50396,Sinabmarin,Andrew E.,WzIwOTg4MDQsMzIxNjkwMl0=
488,488,1839694,16574,0.91,025e592-91d4-473c-8ec5-8363e0a5670d,My Bazzu,ElisTune,WzIwOTg4MDQsMzIxNjkwMl0=
644,644,1569282,145,0.01,b8e9780-a0ef-41ab-80ad-d0149807b456,Cinta Sampai Mati,Raffa Affar,WzE2MjU5MDEsMTMwODI0Mjld
894,894,1300000,0,0.0,4b6ff42-c574-4de7-af58-24b6c590c601,Por Clave el 13,Betillo Guerrero,WzEzOTY5NDEsNjM2ODQwODQxXQ==
923,923,1270950,-79,-0.01,1e82690-dfcb-4c08-8c04-a0369fe50396,Satisfya,Imran Khan,WzEzMDAwMDAsNzg2NTEyOTgxXQ==
936,936,1250375,875,0.07,98874f5-7fee-4163-98f7-70f637db013b,Satu Rasa Cinta,Arief,WzEzMDAwMDAsNzg2NTEyOTgxXQ==
945,945,1238455,735,0.06,7160592-2d73-11ea-a115-549f35161576,La Jeepeta,Nio Garcia & Brray & Juanka,WzEzMDAwMDAsNzg2NTEyOTgxXQ==
946,946,1237053,99248,8.72,7c8963c-a0b3-43c1-a6fe-b21f4475efc3,ในวันที่ฝนพรำ,Lil tan,WzEzMDAwMDAsNzg2NTEyOTgxXQ==
1107,1107,1113098,99872,9.86,a457bda-714a-4470-bedb-7064d2a58026,Elevator Music,Bohoman,WzExMTk3MjUsMTMwODY0NzFd
1143,1143,1100000,0,0.0,67d57b3-9db4-44cd-a470-0e34e1198ff9,23 (With Ape Drums),Randy & Ape Drums,WzExMTk3MjUsMTMwODY0NzFd
1152,1152,1100000,0,0.0,7e42a8a-1ea7-423e-b2f2-58214b291242,Uff Mi Amor,Lauty Gram,WzExMTk3MjUsMTMwODY0NzFd
1578,1578,842000,0,0.0,e9cef4a-52ba-4ecc-9d8e-2ea71bb1430d,Positive Nanana,Balang_3go,Wzg3MjQ4Myw1MTY4ODkyOV0=
1816,1816,749657,3373,0.45,049c0c5-a923-453d-89a6-62c07982df06,Entre Nosotros,Tiago PZK & LIT killah,Wzc1NjIzOSwxMjQzNDQzNl0=
2114,2114,651805,-95,-0.01,e4d7384-f124-400e-aa7b-1b17f744012c,Tiny Dancer,Milky Moustache Beats,WzY1NjA4NSw3MDc4NjI5MzZd
2231,2231,622900,100,0.02,915f7f1-d27e-436e-92d8-e9e6430f942e,4 G Ka Jamana,Ruchika Jangid & TR,WzYzMDIyMSw2Mjk4MTY3NDld
2302,2302,605270,715,0.12,e593de3-31c0-4b05-bb49-b3a2fa176e45,Beiman Re Jaiga Dilam Buker Vitore,Sheikh Rasel,WzYwNjg1Nyw0Nzc0MTMwNV0=
2570,2570,551700,0,0.0,75b7d2c-82c5-11e9-aca3-549f35161576,Disini Senang Disana Senang,PERGI BELAJAR,WzU2MjkwNywxMzY2MjYwOF0=
2619,2619,542600,0,0.0,d60996b-2d3b-4cbf-bf60-9d5f0cd4a532,It Will Be Nice,Balang_3go,WzU0NjE1NCw3MjI3Mjc3MjBd
2754,2754,518100,700,0.14,bd0d145-5327-40b9-8d35-8ab557555974,เกลียดไม่ลง,ฝน พรสุดา,WzUyNjcwMyw0Nzc4OTI3OV0=
2807,2807,509300,0,0.0,cf749d5-7923-40f1-8602-556be337aace,Lời Anh Chưa Thể Nói - Remix,Orinn & Jena,WzUxMDM4NywxMzM3MjA2MV0=
2810,2810,508926,34,0.01,1e84090-ba6b-1ad2-a999-aa1c026db3d8,Pendu,Dr Zeus & Amrinder Gill & Young Fateh,WzUxMDM4NywxMzM3MjA2MV0=
2957,2957,487972,843,0.17,9178fe8-73a1-40c6-a067-7e649376918f,Best life (feat. Gims),Naps & GIMS,WzQ5NTk1Myw3Mjc3Njc4NThd
3015,3015,479000,900,0.19,b1a56fc-4f28-4ff3-8b4c-a6a5d500d5ff,Donde Ta Bebe,La Familia Chiflada,WzQ4MTAyMyw2Nzk1MDE3Nzdd
3206,3206,454500,600,0.13,6e30721-5ce1-4c1d-bb10-acf89aa48dac,คุณไสย์เสกฮัก,เนสกาแฟ ศรีนคร,WzQ1NTMwMiw3MTkwMDk2Nzld
3302,3302,443400,0,0.0,1250bf5-29b3-453d-bf1f-9ab906fcf518,Silent Track 2 Minutes,Sleep Sounds,WzQ0Mzc0Miw3MDA1MDAzMThd
3427,3427,428496,127,0.03,1e8409a-7b71-f706-a771-a0369fe50396,Ayam,Viviane Mrad,WzQzMTE1OSw1NjE1OTE3NV0=
3556,3556,415425,1665,0.4,41c966c-1f72-4988-a9c6-6b10d76de9ac,Yaaran Kolon Yaar,Arif Lohar,WzQyMDI3NSw2ODE0MTczMTJd
3999,3999,370900,3100,0.84,1e840ad-3e0e-af54-964e-aa1c026db3d8,Festa na Roça,Mastruz Com Leite,WzM4MDg4NSw4NjYwNTUzXQ==
4059,4059,366200,0,0.0,d99e23c-f551-4d93-8b76-a298af78e8e8,Dream Away,Ramol,WzM3MDkwMCwxNzk3MzU2MV0=
4186,4186,355076,-50,-0.01,1e84084-425d-c3fc-a188-aa1c026db3d8,Dil Di Tasbih Uttey,Qari Shahid Mehmood Qadri,WzM2MjM4Niw2NzQzODIyMTld
4219,4219,352966,741,0.21,1e840b3-24a8-3124-b1dd-a0369fe50396,Ae Dil Hai Mushkil - Instrumental,Pritam & Ajay Singha,WzM1NDU2NSw2Njg5NzI0MTBd
4234,4234,351708,12470,3.68,ec949a0-87b7-40f8-8c59-6bc06a34c608,Dam Dam Hussain,Alhaj Muhammad Irfan Haidri,WzM1NDU2NSw2Njg5NzI0MTBd
4412,4412,337500,0,0.0,d6182ca-7f70-475b-9c78-755fba1861e8,Motivation & Inspiration,Alec Koff,WzMzODI0MCw2ODEwMTIwMjFd
4445,4445,334937,68,0.02,1e8aa02-d1b8-01c4-8bcf-525400009efb,O Jaane Jaana,Udit Narayan & Sadhana Sargam,WzMzODI0MCw2ODEwMTIwMjFd
4990,4990,300200,-100,-0.03,4a53cdb-500a-47b5-afd8-32f128246c7d,Meri Bai Nahi Aayi,Mimi Teddy,WzMwNjk2OCw1OTg2NzI5MDNd
5067,5067,296400,0,0.0,fd67fae-9aba-42a9-8e27-7bbc5f9480f2,Ramadan Karim,Hakim,WzI5OTgwMCw2NzA2NjMzNzBd
5359,5359,279173,911,0.33,fbd722c-8dfd-414d-a3d3-0be9138fa5f7,Angel,Team 143,WzI4MjAxNSwyMzA0NTkyXQ==
5373,5373,278522,12,0.0,25f1cea-4c82-4447-a7d8-8f6d4df51cb8,In The Party,Flo Milli,WzI4MjAxNSwyMzA0NTkyXQ==
5422,5422,276000,0,0.0,acfdd36-0bb7-11e9-9e30-549f35161576,Selamat Ulang Tahun (feat. Jhelin),Nella Kharisma,WzI3NzE0MiwxMjM1NjVd
5607,5607,267794,84,0.03,8cd08d2-79cf-4fe7-9133-2b52580a8af4,One of Them Girls,Lee Brice,WzI2ODQyNiwyNzg3ODg2OV0=
5782,5782,260020,-60,-0.02,1ed1ddc-db21-11e9-a9dd-e4434b16cb7b,Ykhalik Lili,Saad Lamjarred,WzI2MzgwMCw3ODY5OTk2NDZd
5797,5797,259527,-67,-0.03,cf5da1a-d80f-439e-854e-2964ec803a15,Nassam Alayna El Hawa (Live),Fairuz,WzI2MzgwMCw3ODY5OTk2NDZd
5878,5878,256372,-80,-0.03,d5dfb29-f6f9-41be-8d55-b934dd602d49,Zama Sardara,Sofia Kaif,WzI1OTQ2MSw0NjI4NzcwNV0=
5944,5944,253028,138,0.05,5f503bc-d0ac-11e9-9b15-a81e84f2a475,Nhot Ma Sat Nae Ngo Chin Tal,Han Htoo Zen & Phoo Phoo,WzI1NTMzMiw0NTgxNjQ4Ml0=
6036,6036,248947,12800,5.42,0e24d86-2163-404b-9820-7a91fbcb03ff,Sari Duniya Hussain,Muharram Hussain,WzI1MDY0NSw2Mzg1NDE4Mjdd
6068,6068,247882,52,0.02,2720af4-d066-11e9-bd8d-549f35161576,Show & Tell,Melanie Martinez,WzI1MDY0NSw2Mzg1NDE4Mjdd
6436,6436,233005,-26,-0.01,a948b90-71c9-4911-8082-10da007f0ebc,Morena,MC Higão,WzIzNDMwMyw1MDU3NTIyNV0=
6568,6568,228200,0,0.0,6d2e293-b26b-45cf-ac8b-fb9ef8631c32,Peaceful Forest Stream,Nature Sounds,WzIzMDc2NSw2NDM4MjM1NjFd
6747,6747,222200,0,0.0,3660278-4614-4022-b9f4-35dfab597b5d,น่ารักอะไรเบอร์นี้ (feat. Nichkhun),TOR Saksit & NICHKHUN,WzIyMzY0NCw2NDA3MjMxNjhd
