uuid,name,creditName,identifier,url,default
794b28b6-d2e1-4e66-ba29-cc8b64553522,Disco,Surf Curse,6713971652633299717,https://www.tiktok.com/music/x-6713971652633299717,False
794b28b6-d2e1-4e66-ba29-cc8b64553522,Disco,Surf Curse,6982680091830519809,https://www.tiktok.com/music/x-6982680091830519809,False
794b28b6-d2e1-4e66-ba29-cc8b64553522,Disco,Surf Curse,6897242951630539526,https://www.tiktok.com/music/original-sound-6897242951630539526,False
90dc20a6-bff3-4551-95fb-26165f6c7002,Nasty,Tinashe,7353374941268363265,https://www.tiktok.com/music/x-7353374941268363265,False
db9cfac4-f0ba-4e86-94c6-dee321d8adc4,doodle - Slowed,Zachz Winner,7397023128725833744,https://www.tiktok.com/music/x-7397023128725833744,False
b29ad2b5-adde-4091-92e4-25a28edcbaf6,Alibi,Sevdaliza & Pabllo Vittar & Yseult,7378837447516522512,https://www.tiktok.com/music/x-7378837447516522512,False
b29ad2b5-adde-4091-92e4-25a28edcbaf6,Alibi,Sevdaliza & Pabllo Vittar & Yseult,7367106469261298464,https://www.tiktok.com/music/x-7367106469261298464,False
6221fcf3-1c4d-499b-8b14-24af37a53511,Mamushi (feat. Yuki Chiba),Megan Thee Stallion & 千葉雄喜,7385401177967577104,https://www.tiktok.com/music/x-7385401177967577104,False
973a1ea7-f7e8-4d15-ae2a-b0ce35625e60,Gata Only,FloyyMenor & Cris Mj,7346630156226382625,https://www.tiktok.com/music/x-7346630156226382625,False
973a1ea7-f7e8-4d15-ae2a-b0ce35625e60,Gata Only,FloyyMenor & Cris Mj,7320392454030052102,https://www.tiktok.com/music/x-7320392454030052102,False
973a1ea7-f7e8-4d15-ae2a-b0ce35625e60,Gata Only,FloyyMenor & Cris Mj,7328723326167369729,https://www.tiktok.com/music/x-7328723326167369729,False
64e361c2-7c0a-459d-9ec0-f5f5bf3f317c,Mirame,Blessd & Ovy On The Drums,7359020659249285894,https://www.tiktok.com/music/x-7359020659249285894,False
64e361c2-7c0a-459d-9ec0-f5f5bf3f317c,Mirame,Blessd & Ovy On The Drums,7357885883788871696,https://www.tiktok.com/music/x-7357885883788871696,False
eaa4a161-69db-45c3-bb43-889d0bd07a6f,ESTE,El Alfa & Nfasis,7386694627091319557,https://www.tiktok.com/music/x-7386694627091319557,False
eaa4a161-69db-45c3-bb43-889d0bd07a6f,ESTE,El Alfa & Nfasis,7386792367849932801,https://www.tiktok.com/music/x-7386792367849932801,False
b2e683ca-2dbe-48c2-9a51-9c3704dd26ed,Tengo Un Plan,Key-Key,7327777017881168686,https://www.tiktok.com/music/Tengo-Un-Plan-7327777017881168686,False
b2e683ca-2dbe-48c2-9a51-9c3704dd26ed,Tengo Un Plan,Key-Key,7321439078816254763,https://www.tiktok.com/music/x-7321439078816254763,False
a22c2e86-6c2a-4fd7-bc0d-1aee90befe25,SLAY!,Eternxlkz,7345391990441674754,https://www.tiktok.com/music/x-7345391990441674754,False
21cf3342-9519-4217-b8b6-fd264e75e557,Please Please Please,Sabrina Carpenter,7377535207828195344,https://www.tiktok.com/music/x-7377535207828195344,False
21cf3342-9519-4217-b8b6-fd264e75e557,Please Please Please,Sabrina Carpenter,7377535587517417473,https://www.tiktok.com/music/x-7377535587517417473,False
c74b51fc-49d1-4cbd-8f0f-8c2334c9721d,Very Cute Melody by Marimba Tone (39813),mitsu sound,6849968592285337602,https://www.tiktok.com/music/x-6849968592285337602,False
5466b58c-3c2a-493d-8ccf-eaa047cb2e22,Don’t Talk to Me (Sped-up Version),Tre Coast & Lycia Faith,83032049,https://www.tiktok.com/music/x-83032049,False
97b8da13-e8f5-4ab8-87c7-23009e4fdeca,KEHLANI,Jordan Adetunji,7370357626108644128,https://www.tiktok.com/music/x-7370357626108644128,False
97b8da13-e8f5-4ab8-87c7-23009e4fdeca,KEHLANI,Jordan Adetunji,7370420816004679696,https://www.tiktok.com/music/x-7370420816004679696,False
e0e3de7f-c767-4d34-9952-5f39e2fa894a,Kita Bikin Romantis,MALIQ & D'Essentials,7339430585305925633,https://www.tiktok.com/music/Kita-Bikin-Romantis-7339430585305925633,False
5a2d8af0-4abd-400c-8d53-dee2267a3b79,MASHA ULTRAFUNK - SLOWED,HISTED & TXVSTERPLAYA,7339976543278778370,https://www.tiktok.com/music/x-7339976543278778370,False
e0e61cbd-e5ae-45b1-a443-dc8dac6b9dac,พี่ชอบหนูที่สุดเลย,PONCHET & VARINZ - Speed Up Version,7296136277207730178,https://www.tiktok.com/music/x-7296136277207730178,False
5b4119d5-c0f2-48a0-8e53-96f95bf7060f,Pink Lemonade (Str8 Reload),LeoStayTrill & Mr Reload It,7384670297289689105,https://www.tiktok.com/music/x-7384670297289689105,False
5b4119d5-c0f2-48a0-8e53-96f95bf7060f,Pink Lemonade (Str8 Reload),LeoStayTrill & Mr Reload It,7379170357507770385,https://www.tiktok.com/music/x-7379170357507770385,False
5b4119d5-c0f2-48a0-8e53-96f95bf7060f,Pink Lemonade (Str8 Reload),LeoStayTrill & Mr Reload It,7359540431066482689,https://www.tiktok.com/music/x-7359540431066482689,False
5b4119d5-c0f2-48a0-8e53-96f95bf7060f,Pink Lemonade (Str8 Reload),LeoStayTrill & Mr Reload It,7359540431066466305,https://www.tiktok.com/music/x-7359540431066466305,False
5a4ae67e-d91c-4883-95cb-20035f2a3f7a,Taste,Sabrina Carpenter,7405931370277046288,https://www.tiktok.com/music/x-7405931370277046288,False
5a4ae67e-d91c-4883-95cb-20035f2a3f7a,Taste,Sabrina Carpenter,7403552691299633168,https://www.tiktok.com/music/x-7403552691299633168,False
c3785026-be69-487d-a0ec-32a0a9d607b3,Si Antes Te Hubiera Conocido,KAROL G,7379170357653112848,https://www.tiktok.com/music/x-7379170357653112848,False
c3785026-be69-487d-a0ec-32a0a9d607b3,Si Antes Te Hubiera Conocido,KAROL G,7382667891529402384,https://www.tiktok.com/music/x-7382667891529402384,False
e0d07eee-7668-4d6a-9bc3-1bd06be48ed0,MILLION DOLLAR BABY,Tommy Richman,7362317730454308880,https://www.tiktok.com/music/x-7362317730454308880,False
e0d07eee-7668-4d6a-9bc3-1bd06be48ed0,MILLION DOLLAR BABY,Tommy Richman,7362317730454292496,https://www.tiktok.com/music/x-7362317730454292496,False
e0d07eee-7668-4d6a-9bc3-1bd06be48ed0,MILLION DOLLAR BABY,Tommy Richman,7357455282735909675,https://www.tiktok.com/music/x-7357455282735909675,False
c33d68a1-d526-43b7-bfcf-aa08fbdff3ed,Montagem Rave Eterno,Dj Samir & Fyex,7358581216520112145,https://www.tiktok.com/music/x-7358581216520112145,False
99fd456c-2ecc-428f-a38e-4ea32f4b66c1,Inspirational,Cipta Santika & neozilla,7288226217396242433,https://www.tiktok.com/music/x-7288226217396242433,False
d61a6196-5bad-4927-ac59-4d2c375eef49,Apple,Charli xcx,7377196584867760145,https://www.tiktok.com/music/x-7377196584867760145,False
17a92051-4b9f-4fca-8ad5-58ab144d9294,Lady Killers II (Christoph Andersson Remix),G-Eazy,7348461227213589253,https://www.tiktok.com/music/x-7348461227213589253,False
17a92051-4b9f-4fca-8ad5-58ab144d9294,Lady Killers II (Christoph Andersson Remix),G-Eazy,7337000494230997802,https://www.tiktok.com/music/x-7337000494230997802,False
17a92051-4b9f-4fca-8ad5-58ab144d9294,Lady Killers II (Christoph Andersson Remix),G-Eazy,7347780301656328194,https://www.tiktok.com/music/x-7347780301656328194,False
17a92051-4b9f-4fca-8ad5-58ab144d9294,Lady Killers II (Christoph Andersson Remix),G-Eazy,6754759261705734917,https://www.tiktok.com/music/original-sound-6754759261705734917,False
17a92051-4b9f-4fca-8ad5-58ab144d9294,Lady Killers II (Christoph Andersson Remix),G-Eazy,6913610726460459781,https://www.tiktok.com/music/som-original-6913610726460459781,False
daf26ebc-c416-48b9-a481-f3f49431ec96,Por Toda la Vida,Fonseca,7358899173267114001,https://www.tiktok.com/music/x-7358899173267114001,False
2d2ad6d1-a137-49eb-9fe2-69f24fb45af9,I Don't Care,Boy Spyce & Khaid,7302188126298720258,https://www.tiktok.com/music/x-7302188126298720258,False
fb38fce0-2898-4715-b8ae-96fc2826e4d6,UWAIE,Kapo,7392371634493426437,https://www.tiktok.com/music/x-7392371634493426437,False
fb38fce0-2898-4715-b8ae-96fc2826e4d6,UWAIE,Kapo,7400875234494564353,https://www.tiktok.com/music/x-7400875234494564353,False
dd552e09-1abb-4c49-a122-48859642abf1,Che Che,Chimbala,7354027801701959696,https://www.tiktok.com/music/x-7354027801701959696,False
8ec8dc35-5cd1-4058-81e9-64723fe0ba0e,PELIGROSA,FloyyMenor,7390912200090684166,https://www.tiktok.com/music/x-7390912200090684166,False
8ec8dc35-5cd1-4058-81e9-64723fe0ba0e,PELIGROSA,FloyyMenor,7383435917124258565,https://www.tiktok.com/music/x-7383435917124258565,False
8ec8dc35-5cd1-4058-81e9-64723fe0ba0e,PELIGROSA,FloyyMenor,7384195140603316225,https://www.tiktok.com/music/x-7384195140603316225,False
f3a02705-8ec5-4c58-b2f7-faa7e991f187,Die With A Smile,Lady Gaga & Bruno Mars,7403588534353528848,https://www.tiktok.com/music/x-7403588534353528848,False
28603366-b977-483e-866e-6d7c9f033975,Yo Bunny,prodbycpkshawn & Ugly Andz.,7377198595927853072,https://www.tiktok.com/music/x-7377198595927853072,False
28603366-b977-483e-866e-6d7c9f033975,Yo Bunny,prodbycpkshawn & Ugly Andz.,7371301178392758288,https://www.tiktok.com/music/x-7371301178392758288,False
77994f69-7844-4b21-bdba-5b618f3ca906,Not Like Us,Kendrick Lamar,7365349431086401552,https://www.tiktok.com/music/x-7365349431086401552,False
f3a3a060-83e3-4b00-8b36-d1bc5c101a5e,A Bar Song (Tipsy),Shaboozey,7357002407517227818,https://www.tiktok.com/music/x-7357002407517227818,False
f3a3a060-83e3-4b00-8b36-d1bc5c101a5e,A Bar Song (Tipsy),Shaboozey,7354249271669344273,https://www.tiktok.com/music/x-7354249271669344273,False
e6165984-7918-4804-85a2-279e118a8372,Juna,Clairo,7359782220351440912,https://www.tiktok.com/music/x-7359782220351440912,False
d5ec3afb-4002-472a-8f8f-89d836465f38,BIRDS OF A FEATHER,Billie Eilish,7369368914394056720,https://www.tiktok.com/music/x-7369368914394056720,False
83171c6d-ca85-44ca-aae1-1ddc1374bc8b,KEEP UP,Odetari,7390090393293309969,https://www.tiktok.com/music/x-7390090393293309969,False
737a1573-a983-4eb1-b5e7-936638581195,Enjoy Your Life,Mas Rizky Iman,7360630552825415697,https://www.tiktok.com/music/x-7360630552825415697,False
d4c95b90-ad17-4ae7-b92e-baf4dfc99510,Ohnana,Kapo,7377519105757579280,https://www.tiktok.com/music/x-7377519105757579280,False
4d290509-9cea-4b31-9296-3f2cacead35f,Pose For Me,John Mackk & Natalie Nunn,7411636519082986282,https://www.tiktok.com/music/x-7411636519082986282,False
8be742c7-66a3-4de2-b20b-9f3ec9296487,El Secuestro,Mono Zabaleta & Daniel Maestre,7331448769908247301,https://www.tiktok.com/music/x-7331448769908247301,False
0995209f-3bcb-4b06-b08a-89df3f48e8aa,Big Dawgs,Hanumankind & Kalmi,7386800052000589825,https://www.tiktok.com/music/x-7386800052000589825,False
cf3a3c25-cb7c-4117-9a69-42216f75eebd,✻H+3+ЯД✻7luCJIo0T6...,vyrval,7332699691665213441,https://www.tiktok.com/music/x-7332699691665213441,False
b8d07c71-f8c6-43d2-a2a1-c36e4adfd19d,Relaxed - Sped Up,MC Mablo Dos Paredões,7358898427880982545,https://www.tiktok.com/music/x-7358898427880982545,False
594add83-3070-4ce8-9805-daab03d6f960,"Double Life (From ""Despicable Me 4"")",Pharrell Williams,7366401343341119504,https://www.tiktok.com/music/x-7366401343341119504,False
594add83-3070-4ce8-9805-daab03d6f960,"Double Life (From ""Despicable Me 4"")",Pharrell Williams,7380206855522682881,https://www.tiktok.com/music/x-7380206855522682881,False
