,uuid,name,creditname,identifier,title,authorname,url,imgurl
240000,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6910154425851988737,original sound - @hlamyonwe257,🌼hlamyonwe🌼,https://www.tiktok.com/music/original-sound----hlamyonwe257-6910154425851988737,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/aa96df9ab16372d2a687685e840024c0.jpeg
240001,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6910061157827037954,original sound - ♡𝓣𝓱𝓪𝓮𝓼𝓾𝓱𝓽𝔀𝓮♡,♡𝓣𝓱𝓪𝓮𝓼𝓾𝓱𝓽𝔀𝓮♡,https://www.tiktok.com/music/original-sound--------------------------------------------------6910061157827037954,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/0dfb37e9583295fd4787683a4eed1774.jpeg
240002,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6910119339966696194,original sound - ❣️❣️kay nwe aung💖💖,❣️❣️kay nwe aung💖💖,https://www.tiktok.com/music/original-sound---------------kay-nwe-aung---------6910119339966696194,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/87a2edafec46e04fa56e4f609c9b849c.jpeg
240003,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6909090247657769730,original sound - alettha zyora 🙇🏻‍♀️💗,𝐧𝐞𝐧𝐠𝐥𝐞𝐭𝐡𝐚,https://www.tiktok.com/music/original-sound---alettha-zyora-----------------------6909090247657769730,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/fefb0a9dde4fd741675c0aceb11f8c10.jpeg
240004,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6917501068624907009,original sound - Blink,Blink,https://www.tiktok.com/music/original-sound---Blink-6917501068624907009,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/c64229c7268c54b74985f747544898ad.jpeg
240005,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6910450285072747265,original sound - Chindea Love,Chindea Love,https://www.tiktok.com/music/original-sound---Chindea-Love-6910450285072747265,https://p16-sg.tiktokcdn.com/aweme/720x720/tiktok-obj/62cf2e6a9d7c7032b401568b1bcd9bcf.jpeg
240006,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6911636489881324289,original sound - comedian,comedian,https://www.tiktok.com/music/original-sound---comedian-6911636489881324289,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/5567cb8d87f4fd4e09b0f770f97e23c4.jpeg
240007,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6910223164458994434,original sound - florida of usa,florida of usa,https://www.tiktok.com/music/original-sound---florida-of-usa-6910223164458994434,https://p16-sg.tiktokcdn.com/aweme/720x720/tiktok-obj/5c8c23213be921996f7feabf3f25976e.jpeg
240008,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6909734908361591553,original sound - Ita2424,Ita2424,https://www.tiktok.com/music/original-sound---Ita2424-6909734908361591553,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/1674498598865922.jpeg
240009,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6909841295368260354,original sound - Jessa S. Cajegas☑️,Jessa S. Cajegas☑️,https://www.tiktok.com/music/original-sound---Jessa-S--Cajegas-------6909841295368260354,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/903d9d81322d4697a8de136c03d96570.jpeg
240010,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6909470980029418241,original sound - kaung htet,Tik Toker,https://www.tiktok.com/music/original-sound---kaung-htet-6909470980029418241,https://p16-sg.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_720x720.jpeg
240011,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6909444820570311426,original sound - kaung htet,Tik Toker,https://www.tiktok.com/music/original-sound---kaung-htet-6909444820570311426,https://p16-sg.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_720x720.jpeg
240012,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6910064265994963713,original sound - Kaung Kaung,Kaung Kaung,https://www.tiktok.com/music/original-sound---Kaung-Kaung-6910064265994963713,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/07f28f15481c672c125176dd5560782a.jpeg
240013,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6910419229149793026,original sound - Kristin enjel elisa,Kristin enjel elisa,https://www.tiktok.com/music/original-sound---Kristin-enjel-elisa-6910419229149793026,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/773eb4e0506da29d57eb446e71324ab7.jpeg
240014,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6909825810580982529,original sound - KTG R5c yuliailyas,KTG R5c yuliailyas,https://www.tiktok.com/music/original-sound---KTG-R5c-yuliailyas-6909825810580982529,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/5b137a9ca1f40818125bfd1881821ebe.jpeg
240015,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6910064287855774465,original sound - Mangatur Gultom,Mangatur Gultom,https://www.tiktok.com/music/original-sound---Mangatur-Gultom-6910064287855774465,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/cbc5401ec639cebd022febfb33fb2c42.jpeg
240016,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6910403254765636354,original sound - nala 🌻,N A L A 🇮🇩,https://www.tiktok.com/music/original-sound---nala------6910403254765636354,https://p16-sg.tiktokcdn.com/aweme/720x720/tiktok-obj/f4ec367198ef8fa7c13c65943c20c359.jpeg
240017,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6907819971313748738,original sound - Owl・BabyX 🌚❤Leader👾😜❤,BURN丨BabyX 👼❤✨,https://www.tiktok.com/music/original-sound---Owl---BabyX--------Leader------------6907819971313748738,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/7da897316bd5c6c961532ccf91b1de40.jpeg
240018,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6909875097666980609,original sound - REIA VELASQUEZ ZAFRA,REIA VELASQUEZ ZAFRA,https://www.tiktok.com/music/original-sound---REIA-VELASQUEZ-ZAFRA-6909875097666980609,https://p16-sg.tiktokcdn.com/aweme/720x720/tiktok-obj/1601140337781761.jpeg
240019,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6918199308374297345,original sound - Rindu ajah,Rindu ajah,https://www.tiktok.com/music/original-sound---Rindu-ajah-6918199308374297345,https://p16-sg.tiktokcdn.com/aweme/720x720/tiktok-obj/1649176236315650.jpeg
240020,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6910606623534779137,original sound - S-o-y-@Shwe-yi,S-o-y-@Shwe-yi,https://www.tiktok.com/music/original-sound---S-o-y--Shwe-yi-6910606623534779137,https://p16-sg.tiktokcdn.com/aweme/720x720/tiktok-obj/402741dd44f045bab900dec99b1009a0.jpeg
240021,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6909690966202911489,original sound - ⛓😈Æh Hœñg—🍒⛓fan boy🔞🎃,Tik Toker,https://www.tiktok.com/music/original-sound------------h-H----g----------fan-boy---------6909690966202911489,https://p16-sg.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_720x720.jpeg
240022,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6904252387339373313,"original sound - 🔱꧁TBSI꧂Navisa,purba","🔱꧁TBSI꧂Navisa,purba",https://www.tiktok.com/music/original-sound----------TBSI---Navisa-purba-6904252387339373313,https://p16-sg.tiktokcdn.com/aweme/720x720/tiktok-obj/ad8f3e9f665880e44ae8936c7c53bc8d.jpeg
240023,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6910142967156116225,original sound - 🇰🇭Bro LySak LoveCambodia🇰🇭,🇰🇭Bro LySak LoveCambodia🇰🇭,https://www.tiktok.com/music/original-sound-----------Bro-LySak-LoveCambodia---------6910142967156116225,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/4cd45b04051c1e289b562e55ad11e16b.jpeg
240024,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6909901683855461121,original sound - 🇲🇲PĦØŦØŞĦØP Μ¥ΔŇΜΔŘ🇲🇲,Tik Toker,https://www.tiktok.com/music/original-sound-----------P--------------P------------------------6909901683855461121,https://p16-sg.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_720x720.jpeg
240025,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6909386484017859330,original sound - 🍑🍑Theint🍑🍑,🍑🍑Theint🍑🍑,https://www.tiktok.com/music/original-sound-----------Theint---------6909386484017859330,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/720ecae224db49e31155500ddc4197c0.jpeg
240026,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6909836569700567810,original sound - 🍑🍑Theint🍑🍑,🍑🍑Theint🍑🍑,https://www.tiktok.com/music/original-sound-----------Theint---------6909836569700567810,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/720ecae224db49e31155500ddc4197c0.jpeg
240027,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6906591811293285121,son original,Tik Toker,https://www.tiktok.com/music/son-original-6906591811293285121,https://p16-sg.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_720x720.jpeg
240028,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6910302594309393153,sonido original,veroborras,https://www.tiktok.com/music/sonido-original-6910302594309393153,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/649557df65d06c03214bbf6d773ba429.jpeg
